Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Chlupacites praeceps - Fig.73D.whorl4 - wh(5.4 mm) - D. Korn;5,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Chlupacites praeceps - Fig.73D.whorl5 - wh(3.4 mm) - D. Korn;3,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl6;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Chlupacites praeceps - Fig.73D.whorl6 - wh(2.0 mm) - D. Korn;2
D. Korn;Anarcestes lateseptatus;;Anarlate1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes lateseptatus - Anarlate1 - (wh 11.0 mm) - D. Korn;11
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes latissimus - L19735.whorl1 - (wh 15.2 mm) - Chlupac and Turek 1983;15,2
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes latissimus - L19735.whorl2 - (wh 11.1 mm) - Chlupac and Turek 1983;11,1
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes latissimus - L19735.whorl3 - (wh 7.3 mm) - Chlupac and Turek 1983;7,3
D. Korn;Anarcestes simulans;;Fig.119C.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes simulans - Fig.119C.whorl1 - (wh 8.9 mm) - Korn and Klug 2002;8,9
D. Korn;Anarcestes simulans;;Fig.119C.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes simulans - Fig.119C.whorl2 - (wh 6.1 mm) - Korn and Klug 2002;6,1
D. Korn;Anarcestes simulans;;Fig.119C.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes simulans - Fig.119C.whorl3 - (wh 5.4 mm) - Korn and Klug 2002;5,4
D. Korn;Anarcestes simulans;;Fig.119C.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes simulans - Fig.119C.whorl4 - (wh 4.2 mm) - Korn and Klug 2002;4,2
D. Korn;Anarcestes simulans;;Fig.119C.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes simulans - Fig.119C.whorl5 - (wh 3.5 mm) - Korn and Klug 2002;3,5
D. Korn;Anarcestes simulans;;Fig.119C.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes simulans - Fig.119C.whorl6 - (wh 2.5 mm) - Korn and Klug 2002;2,5
D. Korn;Anarcestes simulans;;Fig.119C.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes simulans - Fig.119C.whorl7 - (wh 2.2 mm) - Korn and Klug 2002;2,2
D. Korn;Anarcestes simulans;;Fig.119C.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes simulans - Fig.119C.whorl8 - (wh 1.9 mm) - Korn and Klug 2002;1,9
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes plebeius - L17758.whorl1 - (wh 16.2 mm) - Chlupac and Turek 1983;16,2
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes plebeius - L17758.whorl2 - (wh 11.6 mm) - Chlupac and Turek 1983;11,6
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes plebeius - L17758.whorl3 - (wh 8.5 mm) - Chlupac and Turek 1983;8,5
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes plebeius - L17758.whorl4 - (wh 6.6 mm) - Chlupac and Turek 1983;6,6
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes plebeius - L17758.whorl5 - (wh 4.8 mm) - Chlupac and Turek 1983;4,8
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes crassus - MB.C.15693.whorl1 - (wh 14.2 mm) - Ebbighausen et al. 2011;14,2
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes crassus - MB.C.15693.whorl2 - (wh 11.2 mm) - Ebbighausen et al. 2011;11,2
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes crassus - MB.C.15693.whorl3 - (wh 11.0 mm) - Ebbighausen et al. 2011;11
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes crassus - MB.C.15693.whorl4 - (wh 9.5 mm) - Ebbighausen et al. 2011;9,5
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes crassus - MB.C.15693.whorl5 - (wh 8.5 mm) - Ebbighausen et al. 2011;8,5
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Anarcestes crassus - MB.C.15693.whorl6 - (wh 7.3 mm) - Ebbighausen et al. 2011;7,3
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl1 - (wh 21.4 mm) - Korn and Klug 2002;21,4
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl2 - (wh 15.4 mm) - Korn and Klug 2002;15,4
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl3 - (wh 9.9 mm) - Korn and Klug 2002;9,9
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl4 - (wh 6.5 mm) - Korn and Klug 2002;6,5
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl5 - (wh 4.0 mm) - Korn and Klug 2002;4
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl6 - (wh 2.7 mm) - Korn and Klug 2002;2,7
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl7 - (wh 1.6 mm) - Korn and Klug 2002;1,6
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl1 - (wh 40.3 mm) - Korn and Klug 2002;40,3
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl2 - (wh 19.3 mm) - Korn and Klug 2002;19,3
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl3 - (wh 10.7 mm) - Korn and Klug 2002;10,7
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl4 - (wh 5.7 mm) - Korn and Klug 2002;5,7
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl5 - (wh 2.7 mm) - Korn and Klug 2002;2,7
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Chlupacites praeceps - Fig.73D.whorl1 - wh(25.9 mm) - D. Korn;25,9
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Chlupacites praeceps - Fig.73D.whorl2 - wh(16.4 mm) - D. Korn;16,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Chlupacites praeceps - Fig.73D.whorl3 - wh(9.6 mm) - D. Korn;9,6
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Chlupacites praeceps - Fig.73D.whorl4 - wh(5.4 mm) - D. Korn;5,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Chlupacites praeceps - Fig.73D.whorl5 - wh(3.4 mm) - D. Korn;3,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl6;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Chlupacites praeceps - Fig.73D.whorl6 - wh(2.0 mm) - D. Korn;2
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes latissimus - L19735.whorl1 - (wh 15.2 mm) - Chlupac and Turek 1983;15,2
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes latissimus - L19735.whorl2 - (wh 11.1 mm) - Chlupac and Turek 1983;11,1
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes latissimus - L19735.whorl3 - (wh 7.3 mm) - Chlupac and Turek 1983;7,3
D. Korn;Anarcestes simulans;;Fig.119C.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes simulans - Fig.119C.whorl1 - (wh 8.9 mm) - Korn and Klug 2002;8,9
D. Korn;Anarcestes simulans;;Fig.119C.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes simulans - Fig.119C.whorl2 - (wh 6.1 mm) - Korn and Klug 2002;6,1
D. Korn;Anarcestes simulans;;Fig.119C.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes simulans - Fig.119C.whorl3 - (wh 5.4 mm) - Korn and Klug 2002;5,4
D. Korn;Anarcestes simulans;;Fig.119C.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes simulans - Fig.119C.whorl4 - (wh 4.2 mm) - Korn and Klug 2002;4,2
D. Korn;Anarcestes simulans;;Fig.119C.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes simulans - Fig.119C.whorl5 - (wh 3.5 mm) - Korn and Klug 2002;3,5
D. Korn;Anarcestes simulans;;Fig.119C.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes simulans - Fig.119C.whorl6 - (wh 2.5 mm) - Korn and Klug 2002;2,5
D. Korn;Anarcestes simulans;;Fig.119C.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes simulans - Fig.119C.whorl7 - (wh 2.2 mm) - Korn and Klug 2002;2,2
D. Korn;Anarcestes simulans;;Fig.119C.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes simulans - Fig.119C.whorl8 - (wh 1.9 mm) - Korn and Klug 2002;1,9
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes plebeius - L17758.whorl1 - (wh 16.2 mm) - Chlupac and Turek 1983;16,2
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes plebeius - L17758.whorl2 - (wh 11.6 mm) - Chlupac and Turek 1983;11,6
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes plebeius - L17758.whorl3 - (wh 8.5 mm) - Chlupac and Turek 1983;8,5
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes plebeius - L17758.whorl4 - (wh 6.6 mm) - Chlupac and Turek 1983;6,6
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes plebeius - L17758.whorl5 - (wh 4.8 mm) - Chlupac and Turek 1983;4,8
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes crassus - MB.C.15693.whorl1 - (wh 14.2 mm) - Ebbighausen et al. 2011;14,2
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes crassus - MB.C.15693.whorl2 - (wh 11.2 mm) - Ebbighausen et al. 2011;11,2
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes crassus - MB.C.15693.whorl3 - (wh 11.0 mm) - Ebbighausen et al. 2011;11
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes crassus - MB.C.15693.whorl4 - (wh 9.5 mm) - Ebbighausen et al. 2011;9,5
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes crassus - MB.C.15693.whorl5 - (wh 8.5 mm) - Ebbighausen et al. 2011;8,5
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Anarcestes crassus - MB.C.15693.whorl6 - (wh 7.3 mm) - Ebbighausen et al. 2011;7,3
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl1 - (wh 21.4 mm) - Korn and Klug 2002;21,4
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl2 - (wh 15.4 mm) - Korn and Klug 2002;15,4
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl3 - (wh 9.9 mm) - Korn and Klug 2002;9,9
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl4 - (wh 6.5 mm) - Korn and Klug 2002;6,5
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl5 - (wh 4.0 mm) - Korn and Klug 2002;4
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl6 - (wh 2.7 mm) - Korn and Klug 2002;2,7
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Achguigites tafilaltensis - Fig.80A.whorl7 - (wh 1.6 mm) - Korn and Klug 2002;1,6
Ebbighausen et al 2011;Achguigites hidens;;MB.C.15688.1.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Ebbighausen et al. 2011;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;Achguigites hidens - MB.C.15688.1.whorl1 - (wh 25.6 mm) - Ebbighausen et al. 2011;25,6
